iter	Passed	Remaining
0	103	103095
1	105	52494
2	107	35830
3	109	27310
4	111	22192
5	113	18799
6	115	16326
7	116	14474
8	119	13133
9	121	12024
10	123	11096
11	125	10301
12	126	9638
13	128	9070
14	130	8581
15	132	8158
16	134	7781
17	136	7454
18	139	7201
19	141	6927
20	143	6670
21	145	6452
22	146	6243
23	148	6046
24	151	5899
25	153	5742
26	155	5592
27	157	5453
28	158	5320
29	160	5197
30	162	5079
31	164	4966
32	166	4876
33	168	4781
34	170	4704
35	172	4614
36	174	4536
37	176	4463
38	178	4390
39	180	4321
40	181	4256
41	184	4198
42	186	4139
43	187	4082
44	189	4026
45	192	3993
46	194	3943
47	196	3904
48	199	3867
49	201	3824
50	203	3780
51	204	3734
52	207	3706
53	209	3667
54	212	3650
55	214	3615
56	216	3584
57	218	3549
58	220	3516
59	222	3483
60	224	3450
61	228	3449
62	230	3421
63	231	3388
64	233	3358
65	235	3329
66	237	3301
67	239	3278
68	241	3256
69	243	3236
70	245	3210
71	247	3185
72	249	3162
73	251	3142
74	253	3120
75	254	3099
76	257	3090
77	259	3068
78	261	3045
79	262	3023
80	264	3001
81	266	2982
82	267	2955
83	269	2935
84	271	2919
85	273	2904
86	275	2889
87	276	2870
88	278	2851
89	280	2833
90	281	2815
91	283	2799
92	285	2784
93	287	2773
94	289	2758
95	291	2741
96	292	2727
97	294	2714
98	296	2699
99	298	2685
100	299	2669
101	302	2662
102	304	2652
103	306	2637
104	307	2624
105	309	2611
106	311	2598
107	313	2586
108	314	2574
109	318	2575
110	320	2565
111	322	2553
112	323	2541
113	325	2531
114	327	2520
115	329	2509
116	330	2497
117	333	2489
118	335	2480
119	336	2470
120	338	2459
121	340	2449
122	342	2439
123	343	2429
124	345	2418
125	348	2418
126	350	2406
127	351	2397
128	353	2387
129	355	2378
130	357	2368
131	358	2360
132	360	2349
133	362	2344
134	364	2338
135	366	2330
136	368	2321
137	370	2313
138	372	2305
139	373	2295
140	375	2288
141	377	2283
142	379	2276
143	381	2268
144	383	2260
145	385	2253
146	386	2244
147	388	2236
148	390	2228
149	392	2224
150	394	2220
151	396	2213
152	398	2205
153	400	2197
154	401	2190
155	403	2183
156	405	2176
157	407	2173
158	410	2170
159	412	2164
160	413	2154
161	415	2147
162	417	2141
163	418	2135
164	420	2129
165	423	2126
166	425	2120
167	426	2114
168	429	2109
169	431	2104
170	432	2098
171	434	2093
172	436	2086
173	439	2087
174	441	2082
175	443	2077
176	445	2072
177	448	2069
178	449	2063
179	451	2058
180	454	2055
181	456	2050
182	458	2045
183	460	2040
184	461	2034
185	463	2029
186	465	2023
187	467	2018
188	469	2014
189	471	2009
190	473	2004
191	475	1999
192	476	1992
193	478	1986
194	479	1980
195	481	1975
196	484	1974
197	486	1970
198	488	1965
199	490	1960
200	491	1955
201	493	1949
202	495	1944
203	497	1939
204	499	1937
205	501	1933
206	503	1928
207	505	1923
208	507	1919
209	509	1914
210	511	1910
211	513	1908
212	515	1906
213	517	1901
214	519	1897
215	521	1893
216	523	1888
217	525	1883
218	526	1878
219	529	1877
220	531	1872
221	532	1867
222	534	1861
223	536	1857
224	537	1852
225	539	1847
226	541	1842
227	543	1838
228	545	1835
229	547	1831
230	548	1827
231	550	1822
232	552	1817
233	553	1812
234	555	1807
235	556	1803
236	559	1802
237	561	1798
238	563	1793
239	565	1790
240	566	1785
241	569	1782
242	570	1778
243	572	1774
244	575	1772
245	577	1768
246	578	1764
247	580	1760
248	582	1756
249	583	1751
250	585	1747
251	587	1744
252	590	1742
253	591	1738
254	593	1734
255	595	1730
256	596	1725
257	598	1721
258	600	1717
259	602	1714
260	604	1711
261	606	1708
262	608	1704
263	610	1701
264	611	1697
265	613	1692
266	615	1688
267	616	1684
268	619	1683
269	621	1680
270	623	1676
271	624	1672
272	626	1669
273	628	1665
274	630	1661
275	632	1658
276	634	1656
277	636	1653
278	638	1650
279	640	1646
280	642	1642
281	643	1639
282	645	1635
283	647	1632
284	649	1630
285	652	1628
286	654	1625
287	656	1622
288	657	1618
289	659	1614
290	661	1611
291	663	1608
292	665	1605
293	667	1602
294	669	1599
295	671	1595
296	672	1592
297	674	1589
298	677	1587
299	679	1584
300	681	1583
301	684	1581
302	686	1578
303	687	1574
304	689	1570
305	690	1567
306	692	1564
307	695	1562
308	697	1560
309	700	1558
310	702	1555
311	703	1552
312	705	1549
313	707	1545
314	709	1543
315	711	1540
316	713	1537
317	715	1534
318	717	1531
319	719	1527
320	720	1525
321	722	1521
322	724	1519
323	726	1516
324	728	1513
325	730	1510
326	732	1507
327	734	1505
328	737	1503
329	739	1501
330	742	1500
331	744	1497
332	746	1494
333	747	1491
334	749	1488
335	751	1485
336	753	1482
337	755	1479
338	757	1477
339	759	1474
340	761	1471
341	762	1467
342	764	1465
343	766	1462
344	769	1460
345	771	1458
346	773	1455
347	775	1452
348	776	1449
349	778	1445
350	780	1442
351	781	1439
352	784	1437
353	786	1434
354	788	1431
355	790	1429
356	791	1426
357	793	1423
358	795	1419
359	796	1416
360	798	1414
361	801	1411
362	802	1408
363	804	1406
364	806	1403
365	808	1400
366	810	1397
367	812	1394
368	814	1392
369	816	1390
370	818	1387
371	820	1385
372	822	1382
373	824	1380
374	826	1377
375	828	1375
376	830	1372
377	832	1370
378	834	1368
379	836	1365
380	838	1362
381	840	1359
382	841	1356
383	843	1353
384	845	1351
385	847	1348
386	849	1345
387	851	1342
388	852	1339
389	854	1336
390	856	1334
391	858	1331
392	860	1329
393	862	1327
394	865	1325
395	866	1321
396	868	1318
397	869	1315
398	871	1313
399	874	1311
400	876	1308
401	878	1306
402	880	1304
403	882	1301
404	884	1298
405	885	1295
406	887	1293
407	889	1291
408	891	1288
409	893	1285
410	895	1283
411	897	1280
412	899	1278
413	901	1275
414	903	1273
415	905	1270
416	906	1268
417	908	1265
418	910	1263
419	912	1260
420	914	1257
421	916	1254
422	919	1254
423	922	1253
424	924	1250
425	926	1248
426	928	1246
427	931	1244
428	934	1243
429	936	1241
430	938	1238
431	940	1236
432	942	1233
433	944	1231
434	945	1228
435	948	1226
436	951	1225
437	953	1222
438	955	1220
439	956	1217
440	958	1214
441	960	1212
442	962	1209
443	964	1208
444	966	1205
445	968	1203
446	970	1200
447	972	1198
448	974	1195
449	976	1193
450	979	1191
451	981	1190
452	983	1187
453	985	1184
454	987	1182
455	988	1179
456	990	1177
457	993	1175
458	996	1174
459	998	1171
460	1000	1169
461	1002	1167
462	1004	1164
463	1006	1162
464	1008	1160
465	1011	1158
466	1012	1156
467	1014	1153
468	1016	1150
469	1018	1148
470	1019	1145
471	1021	1142
472	1024	1141
473	1026	1139
474	1028	1136
475	1029	1133
476	1031	1131
477	1033	1128
478	1035	1126
479	1037	1123
480	1041	1123
481	1043	1121
482	1045	1119
483	1047	1116
484	1049	1114
485	1051	1111
486	1054	1110
487	1056	1108
488	1058	1106
489	1060	1103
490	1062	1101
491	1064	1099
492	1065	1096
493	1068	1093
494	1070	1092
495	1072	1090
496	1074	1087
497	1076	1085
498	1078	1082
499	1079	1079
500	1081	1077
501	1083	1075
502	1086	1073
503	1087	1070
504	1089	1067
505	1091	1065
506	1092	1062
507	1094	1059
508	1095	1057
509	1098	1055
510	1100	1053
511	1102	1050
512	1104	1048
513	1106	1046
